Protein ID	WT1	KO1	WT2	KO2	WT3	KO3	WT4	KO4	WT5	KO5	WT6	MT...49	MT...50	MT...51	MT...52	MT...53
A0A075B5N7	10160.7227	24262.2207	15339.4277	24245.7207	9339.2861	48277.7539	12940.6016	38387.7266	15275.0781	95719.5938	16000.3867	2349.7542	309.5138	0	0	0
A0A075B5R1	9278.3252	6083.314	8878.7861	8832.9277	6286.5752	9560.4521	7628.0195	8185.1426	8646.1191	5561.6465	5119.6313	0	0	0	0	0
A0A075B5R2	9737.7734	9003.8535	12790.0518	9975.0977	8848.9814	15298.0557	9348.0098	13692.7549	13985.2207	17941.8262	9339.918	746.8439	0	0	0	0
A0A075B5S2	12285.793	12414.8691	16165.2256	17766.5664	10983.3789	24327.1074	12501.7695	14527.5889	21787.0879	32396.6328	10643.2939	1214.0609	0	0	0	0
A0A075B5T2	3796.0779000000002	4856.9795	3964.5408	2743.6719	3014.7729	5472.707	3275.7515	3453.2114	4140.8887	5987.2778	2226.0825	0	0	0	0	0
A0A087WPN7	1904.0707	1596.6642	2483.6143	2160.4375	1859.9677	1944.739	1828.0054	1751.8959	2455.4573	1438.2623	1688.4662	0	0	0	0	0
A0A087WQ89	64000.7986	34356.3662	78821.6443	58726.98729999999	52601.1634	32870.448300000004	59226.3658	51244.7988	58209.1177	29762.408	48720.6387	489.508	480.5851	0	0	0
A0A0A6YXW6	2584.5303	3239.7832	3376.2253	2402.4624	2359.1228	3172.5918	2794.5835	3232.0359	3395.2007	4766.6997	2109.0242	0	0	0	0	0
A0A0B4J1G0	2122.6802	2317.9783	2649.6047	2119.3152	1468.3879	3310.9409	1686.6456	2596.136	2725.6675	2700.2083	1813.2122	0	0	0	0	0
A0A0G2JDV3	21254.2441	24762.9287	29852.5352	26481.5743	18456.6738	16166.3218	19438.9366	25163.715799999998	22978.6504	18101.624499999998	17672.7519	0	686.7677	0	0	0
A0A0J9YTR2	15599.0087	11804.6402	20569.042	14278.3003	12855.7016	6157.0105	14630.8013	10155.4951	16399.4766	6663.9854	11721.773000000001	0	0	0	0	0
A0A0J9YUD5	79241.1821	65422.286799999994	105391.7524	82202.0329	64349.513	83697.99100000001	75394.5361	62334.3621	79567.50899999999	65907.3648	67270.0032	0	0	0	0	0
A0A0U1RNF2	24122.4902	16828.3394	34554.6567	20120.369599999998	19380.3947	16621.9528	22450.404599999998	17125.7583	25987.046700000003	14476.4328	19557.0769	0	0	0	0	0
A0A140T8M5	9004.3047	6931.9995	9189.4082	8304.2461	7230.6826	6049.6411	9169.4365	6197.1343	10114.5742	18989.752	7947.1929	501.3181	0	0	0	0
A0A140T8N3	6878.3735	4625.2676	12857.8047	5942.2266	6668.9136	8478.5283	6624.334	6856.9404	6848.9097	4905.7754	6669.1304	0	0	0	0	0
A0A1L1SQU7	3419.6797	3860.0801	4141.2168	4526.5288	3010.4949	3870.3738	3565.2236	3253.405	3890.1497	4021.1282	2600.7358	0	0	0	0	0
A0A1L1SUI3	7930.4448	5561.8633	9304.9248	8171.3535	7007.937	6216.9038	8466.4727	5591.8364	8651.874	5220.3857	6412.7036	0	0	0	0	0
A0A286YCV9	108643.6125	90267.741	145437.4565	107194.5451	90678.58009999999	102099.50779999999	99838.3374	82908.6556	115581.2899	73837.5595	86911.3349	729.3416	914.7738	0	0	0
A0A286YCX6	23702.9784	17843.1	31201.11	25409.714	25541.6625	17209.105	25395.9694	20092.4512	25531.6538	13394.222600000001	19328.266499999998	0	0	0	0	0
A0A2I3BR81	19351.0962	13850.2432	25897.8345	18528.7944	17742.8907	16965.956	17585.7974	14199.429499999998	19083.8286	15537.737099999998	13408.5048	287.0042	0	0	0	0
A0A338P6S8	6042.667	9037.751	10960.6494	9599.4834	5652.6602	8881.499	7610.2676	7240.8784	10291.2383	9060.7383	7702.0005	258.2419	0	0	0	0
A0A494B9V8	10829.937	8265.9707	13301.3328	9225.348399999999	7641.637	7531.4768	10561.4038	9315.4167	8940.6409	6123.8803	7724.8423	0	0	0	0	0
A0A571BF69	135093.55299999999	61449.4583	165087.0922	107006.7501	99300.4232	60895.988	124454.9403	79102.6299	125685.9983	56554.989	117204.5046	266.8633	0	0	0	0
A0A5F8MPH8	26100.1314	32576.1209	39642.1866	34545.390100000004	28357.7212	23393.7388	33165.729	25881.9382	37973.292499999996	25448.9475	32582.9973	253.6193	0	0	0	0
A1L314	3427.6726	4572.8882	4463.6504	4100.2568	2527.8076	6079.0659	2709.7319	3291.3728	2952.1411	3964.146	2048.6826	0	0	0	0	0
A1L317	17202.6094	13779.0352	22409.0469	16715.8223	16892.2402	12543.6025	17444.4766	13216.3281	20032.7305	10180.376	13979.9971	544.9786	0	0	0	0
A2A432	32167.1162	25589.847999999998	46241.771700000005	41187.268000000004	32355.351000000002	26571.2534	40324.0044	27351.9924	39349.7627	28252.6651	25767.1343	586.9169	0	0	0	0
A2A484	2186.7224	1285.3989	3832.0405	2368.678	2383.7598	1863.7632	2708.4434	2066.6084	3221.0164	1834.5879	2802.3455	0	0	0	0	0
A2A5N3	5667.6714	4462.8521	6617.2383	4585.0977	3776.2666	3764.5129	4671.1543	3829.4622	5744.9648	2762.9631	4259.1943	0	0	0	0	0
A2A5R2	41236.1461	27628.2287	50655.1801	36190.7934	35518.699	23667.6874	38990.925	30442.2446	41013.0687	21245.6257	32786.9443	802.4009	467.7282	0	0	0
A2A5Z6	14995.0605	10588.2256	20510.7949	15081.8418	13364.9463	11982.7705	15374.7139	12887.5986	14836.2314	10893.8672	13765.5791	503.0022	412.6103	0	0	0
A2A690	6325.651800000001	3846.1482	6737.4242	6150.436000000001	6025.3588	3194.0351	6466.9652	5375.259599999999	5852.9897	2753.0177	4738.1066	0	0	0	0	0
A2A7B5	8957.7367	7355.099200000001	11507.666799999999	9729.0039	7965.2171	8862.4102	8655.1468	7756.1548999999995	8307.5921	6264.525900000001	8251.2567	0	0	0	0	0
A2A7S8	18255.4627	14912.772200000001	25306.550799999997	21723.7129	18858.6845	18497.338499999998	21086.8527	15674.906500000001	21989.8362	14966.2421	16473.8736	0	0	0	0	0
A2A863	9083.5781	12558.125	10615.7342	12768.123	9692.0029	32739.416100000002	7967.334999999999	13215.6147	11153.8289	20601.970699999998	7158.6004	715.7146	0	0	0	0
A2A8L5	21843.2726	14485.7199	26499.647	20289.1879	20124.3117	16798.7247	22473.0951	16616.9264	20264.45	13000.7827	16729.6093	401.4315	488.2588	0	0	0
A2A8Z1	38950.1157	35111.818400000004	49680.7285	43413.812	36239.3052	29622.909200000002	43115.2915	32359.4038	44079.727	26525.0737	39626.6226	0	0	0	0	0
A2A9C3	2040.6478	1405.4709	2052.4543	1724.9899	1077.317	1574.0157	2250.6211	1391.0322	1532.8738	862.5994	1137.7052	0	0	0	0	0
A2AAY5	30045.770099999998	31454.8822	36483.7252	35710.3039	26581.8454	34890.7352	30911.3624	28434.7219	32556.615	33683.366	24984.2072	1087.312	277.9825	0	0	0
A2ADY9	190638.0031	144504.60270000002	241484.5171	209927.2489	155164.5897	145824.0697	181219.5232	162646.7973	200649.9912	126108.3463	171644.9863	2994.1221	233.3593	0	0	0
A2AGT5	24277.4228	19533.5567	34181.329	26187.3007	19859.3404	18627.012199999997	21258.2949	18721.0122	27289.2203	17120.788099999998	19175.182999999997	253.1812	356.4542	0	0	0
A2AHC3	2508.4519	2577.3816	3262.4548	2518.0337	2598.979	1698.5076	2493.5093	2037.0725	2323.2693	1749.6234	2285.2634	0	0	0	0	0
A2AHG0	19833.9355	14675.7695	28092.3198	20899.7466	16932.5146	12070.2338	16999.8352	16959.278599999998	21294.156	9591.1043	16764.1513	0	0	0	0	0
A2AI08	5772.9546	5160.096	7767.54	6295.999	5075.8657	6052.2525000000005	4884.583500000001	4829.9263	5977.8886999999995	4245.8757000000005	4422.4055	243.0023	0	0	0	0
A2AIG8	3936.5789	3382.7891	5594.9653	5287.71	3071.2566	3704.9016	4901.2178	3838.7563	4034.8025	3179.0242	3357.5349	0	0	0	0	0
A2AIL4	35211.556599999996	17174.5459	48294.3867	34501.8515	29765.1738	9941.5444	33153.3545	19247.5396	39470.9394	15510.6709	36387.0996	0	0	0	0	0
A2AJ15	19697.654599999998	15854.5445	23760.3556	20182.3718	13888.661199999999	15730.4272	18616.0278	16710.9162	17420.0876	15333.5058	14269.998	272.0206	279.8451	0	0	0
A2AJI0	7594.8149	8238.2607	7390.7466	7264.646	5863.5864	9290.1455	6439.3779	6358.9434	6873.1899	7851.2827	5620.2261	959.3727	1421.3754	740.787	657.2834	904.113
A2AJL3	9254.3682	3186.2217	9407.3379	7495.4868	7788.5283	4249.3506	8636.8447	6000.9307	7158.2544	2750.6172	8175.7363	0	0	0	0	0
A2AJT4	5703.4717	3424.0879	6384.1558000000005	5415.2148	3749.4507	4037.3262	6645.626	3656.8901	6791.5317	2905.1833	3539.1191	0	0	0	0	0
A2AJW5	3519.7073	1957.9899	6409.2451	3736.3865	2371.8459	1961.2251	5080.3154	2498.0342	5118.998	1709.5968	4064.6902	0	0	0	0	0
A2AKK5	27891.8955	15173.7593	35893.5918	24178.7178	20938.4727	15087.074700000001	30436.624	13400.947799999998	30714.7852	12294.3042	27104.3242	341.7575	0	0	0	0
A2AKQ0	9001.3311	5748.2944	11917.833	8740.1074	7617.6069	4256.9463	8482.0889	6453.6821	8941.5898	3971.7539	6569.3848	0	0	0	0	0
A2ALK8	4383.6553	2558.4485	4659.9277	3589.3721	3965.3152	3072.1292	4157.1865	2913.3955	3812.1831	2234.7649	3311.249	0	0	0	0	0
A2ALS5	1346.5391	502.9239	1471.9128	582.6464	813.1196	706.05	1230.4608	283.7965	1162.8171	459.5966	631.4039	0	0	0	0	0
A2ALU4	17742.7471	12895.2952	21386.8662	14670.390599999999	13349.9868	12113.1479	17716.8233	12347.2758	19122.3204	11228.564	14458.9151	0	0	0	0	0
A2ALW5	4887.5078	4137.3848	5942.9331	5158.1821	4001.5618	4618.2021	4695.73	4156.6567	4606.7559	3785.9263	3808.5049	0	0	0	0	0
A2AMZ4	15047.2131	9889.9064	18262.801	13379.2798	13858.0085	7877.2292	15177.6335	8996.6292	15260.8362	7254.7433	11533.4645	0	0	0	0	0
A2AN08	167593.619	123458.6347	212281.5743	167927.8461	138858.2783	125638.9524	160730.9536	127131.9461	169138.1287	114375.1719	131576.6302	2590.0143	0	0	0	0
A2ANY6	2554.0999	2889.9561	2894.1807	3036.9456	2677.7788	2233.0203	2785.3501	2739.0605	2912.686	2237.7024	1891.3599	0	0	0	0	0
A2APT9	88802.6992	55282.3525	119129.90719999999	73576.9351	86293.2803	47212.458	87758.8438	74612.9429	86620.9776	40678.8735	82614.7065	0	0	0	0	0
A2APV2	5964.6021	8070.3674	9453.463899999999	7207.4246	5973.3061	7274.7354	5997.7582999999995	5645.1751	8771.6834	6021.4636	5600.9089	0	0	0	0	0
A2APY7	18137.6914	9837.3896	23113.0938	13168.6436	15318.3516	7934.4038	15652.7549	11203.2119	17155.1406	6366.8169	14491.1836	0	0	0	0	0
A2AQ19	3635.282	2203.7158	4007.853	2568.3914	2822.2422	2690.6353	3628.27	3899.5916	3216.2202	2040.3044	2912.3923	0	0	0	0	0
A2AQ25	8877.6265	8270.0223	12435.9727	11501.0671	9463.3449	9996.1443	9360.035	9164.9201	10473.138799999999	7398.32	8415.0427	0	0	0	0	0
A2AQW0	2668.8354	1241.7496	2383.7029000000002	2690.6787	2388.0664	2049.3647	2185.8259	1956.8457	2488.8865	1572.3564	2286.25	0	0	0	0	0
A2AR02	11899.8559	11581.9958	15622.815999999999	12351.428199999998	10138.207999999999	13335.186999999998	11092.568899999998	10411.900399999999	13311.440999999999	9697.9265	8806.6035	0	0	0	0	0
A2ARA8	10917.9353	9149.0089	13230.952399999998	11119.9223	9668.4612	16905.7964	11159.232199999999	9058.2981	12266.7222	9161.7952	9044.492400000001	233.3876	0	0	0	0
A2ARP1	11018.2012	7909.5552	13052.5547	11225.3643	9733.3252	8938.5742	10471.9209	8927.4492	11611.0771	6408.0605	8201.4863	0	0	0	0	0
A2ARV4	1308854.3168	757458.4554	1669065.8737	1267384.6108	1316142.0035	519693.0797	1317818.5433	997584.2777	1191968.2101	501687.2254	1159701.4384	9064.9414	7611.3943	0	0	0
A2ASQ1	152825.37960000001	189393.718	183150.7362	214816.596	154520.9255	209479.2391	159623.6438	176523.6173	172776.9554	172452.8746	146722.0271	2890.0896000000002	1337.3465	0	0	0
A2ASZ8	6495.1187	4436.1772	7999.5771	5632.0332	5610.5688	4657.7461	7547.3481	5175.0474	7226.0962	3742.0825	4318.4712	0	0	0	0	0
A2AT37	19502.2137	17809.582	26738.7647	21071.7691	16780.3165	19274.9048	18071.4077	18360.4375	19878.4419	15285.3089	16688.9516	676.1993	283.1201	0	0	0
A2ATK9	3804.5676	2131.1311	3746.6118	3202.7515	2729.3098	2461.1833	2933.8359	2175.3877	2965.3325	1918.8776	2913.4705	0	0	0	0	0
A2ATU0	143955.9364	74291.78080000001	151704.4229	87895.7761	163145.1119	44657.4941	163618.873	99160.6563	177549.9625	47074.8917	163040.4463	643.8154	1684.9729000000002	0	0	0
A2AV72	16846.127	32855.9375	21744.082	40623.3125	17258.2871	78634.5469	11912.8242	38744.6953	18474.375	55649.7344	11379.3594	0	0	0	0	0
A2AWA9	55895.9375	42333.4939	70418.7944	54166.7319	46497.1273	45672.9356	52667.880600000004	43932.4868	56460.3018	40189.7739	48625.5855	1050.915	684.8648	0	0	0
A2AWP8	22069.773500000003	24154.175799999997	30090.0244	24654.8682	21378.840799999998	22019.192300000002	21469.2344	22583.1552	22247.5586	19672.1807	16497.6269	0	0	0	0	0
A2BDX3	18103.2536	13067.1358	22604.319499999998	16598.6587	14367.6588	13240.6449	14490.2612	12351.9753	16172.795199999999	10384.6552	14721.6172	0	0	0	0	0
A2BE28	4384.0176	3966.7419	6785.0371	5393.0732	4751.0635	5560.458	4075.9763	5125.1475	4273.0337	4284.127	3127.8569	0	0	0	0	0
A2BH40	16632.199699999997	13592.2173	24700.2178	15795.7291	13835.853	13263.118699999999	16723.375500000002	14164.6064	17754.016600000003	12089.748	13142.9536	289.2951	393.3945	0	0	0
A2CEK7	2750.8813	5091.5664	2297.1309	5755.0273	1986.0865	11642.5176	1859.0232	5620.0684	2491.0347	8309.0361	1245.7974	0	0	0	0	0
A2RSJ4	20332.5102	16090.728500000001	29922.5561	19432.8535	19690.7921	16682.263	21768.5253	18330.7432	22207.3875	13271.8985	16565.2192	0	0	0	0	0
A2RSQ0	5371.8133	3570.8887000000004	7279.5764	6239.2771	5616.1867	4006.7055	5299.9845000000005	5002.2922	5567.7832	3616.917	3987.1593000000003	0	0	0	0	0
A2RSX7	4047.5752	3127.7371	5652.3794	4101.1201	4083.7468	2954.0193	4255.7383	3031.6665	4117.5986	2531.0159	3615.8167	0	0	0	0	0
A2RSY6	5498.7412	4180.4829	5198.3574	4805.29	4123.7163	2989.9534	4169.7749	3614.4949	5420.8232	3559.0198	2719.2827	0	0	0	0	0
A2RT67	4613.5176	3692.9607	5470.7954	4395.8921	3345.2869	3896.1992	3323.0605	3667.3879	4047.2739	3736.3677	3747.4529000000002	0	0	0	0	0
A2TJV2	11452.8652	7879.7617	14784.624	11299.6592	10254.1982	7597.2041	9732.0361	8563.1113	10045.0605	6595.2808000000005	7387.7026	0	0	0	0	0
A3KFX0	743.1024	838.7404	934.0635	1118.1195	787.1699	2547.1895	783.9267	1211.8149	510.1357	1181.2791	508.6541	0	0	0	0	0
A3KGB4	4745.1064	3354.0797000000002	6052.5669	5434.4694	4550.335	4182.0127	4927.9016	4926.4824	5683.9384	2513.4646000000002	4583.7034	0	0	0	0	0
A3KMP2	75614.6153	32975.8501	93036.1231	54462.5312	56565.6757	37187.1617	67042.6553	44499.656299999995	63563.0147	22149.9766	64182.2949	0	462.2615	0	0	0
A4FUP9	3623.1108	2123.1477	4178.8501	3434.5845	2431.8213	1112.8999	3012.9529000000002	2300.3784	3231.6321	1052.382	2944.6113	0	0	0	0	0
A6H584	3903.5317999999997	4038.348	5856.209	4636.6379	4734.1108	3877.9528999999998	4992.4373	3000.8134	5554.4791	2554.7078	4588.657499999999	0	0	0	0	0
A6H5Y3	8963.6748	7543.085	11485.4473	8344.2764	7736.9282	9249.167	9289.6865	8527.1924	10163.3945	5926.793	7806.6577	0	0	0	0	0
A6H5Z3	4032.1328	2523.4189	4965.1943	4081.1123	3420.4758	2860.1755	4113.0747	3490.2078	4022.7256	2776.5171	3042.6382	0	0	0	0	0
A6H611	14802.8881	12406.7861	20538.7915	15033.5376	14598.1407	10711.1855	14480.4213	10571.399000000001	13395.4485	12388.1909	11985.0694	537.349	0	0	0	0
A6H630	9107.6289	7637.7053	11418.6448	8798.3906	6618.721	7744.772199999999	8727.0938	7130.0717	9052.776899999999	5943.7119	6884.452300000001	0	0	0	0	0
A6H6A9	37794.0068	25569.0996	50476.0508	33194.0601	32091.082000000002	27064.8613	35443.539	27993.9741	39269.4346	20996.8243	31984.3682	671.6758	892.7583000000001	0	0	0
A6H8H2	42708.799399999996	29419.810100000002	50725.4765	41812.668900000004	32362.4878	42311.832500000004	37331.8589	31493.403700000003	42355.8193	30486.7598	32619.8374	607.7993	515.349	0	0	0
A6X935	12841.979	30043.4193	16816.8586	14374.565	12403.718200000001	72200.4222	10163.558599999998	30859.244400000003	27582.6427	84706.7881	7416.247	1514.5996	0	0	0	0
A8C756	3703.5659	2980.7358	4495.3047	4270.0327	3200.4038	4009.6523	3168.3298	3702.8135	3968.7871	3350.6323	2579.3953	0	0	0	0	0
A8DUK4	380557.9312	148141.2229	418708.9604	182800.1966	407018.0753	239458.9608	484039.9589	158677.8823	651736.4056	148252.1773	370120.6238	5360.1893	7318.043	0	0	0
A9R9W0	1077.0065	10541.4414	1511.2295	10775.5605	1111.5706	29354.9434	1303.5588	11940.5732	1265.8783	19584.4102	504.3933	0	0	0	0	0
A9XX86	11733.8999	24064.1997	15839.9414	23624.041	6924.3676	16239.0061	10942.9355	21485.3682	13184.2607	32912.502	7331.0577	1010.3577	0	0	0	0
B1AR13	60781.4985	29373.591500000002	72091.0226	48698.203199999996	50166.3653	22678.369599999998	64569.9781	35713.467300000004	57512.2041	21386.9609	47300.1758	619.1779	512.0975	0	0	0
B1AR17	6244.354	5663.6475	9545.208	7425.2319	7809.709	5765.7451	8120.9541	6034.1094	8100.3896	4382.8647	5817.4473	0	0	0	0	0
B1ART2	49009.9501	31474.321600000003	63684.838500000005	44982.2024	43518.0522	31777.548	44508.1577	35453.2393	48284.9949	26981.4481	42394.1852	275.4754	1468.8465999999999	0	0	0
B1AUE5	12386.4971	5078.7764	14043.6318	7992.5728	7768.9941	4060.7952	10714.6064	5481.5449	10108.6748	3032.2612	8370.8867	0	0	0	0	0
B1AUN2	17781.2265	9772.323199999999	19129.269500000002	16404.9263	13787.883300000001	11487.7109	14885.6836	12191.7725	14036.5518	8377.739	12749.514200000001	0	0	0	0	0
B1AUS6	46902.5625	38068.7891	52893.9219	42855.6445	39385.6602	34622.543	44235.6523	34936.0625	45540.0664	30325.0664	35881.75	1031.3531	1039.0485	0	0	0
B1AVD1	4487.8521	2697.8057	5875.1118	4017.123	3148.4871	2781.709	5171.1357	2518.7065	4874.7007	2069.988	4221.5215	0	0	0	0	0
B1AVP0	45417.4145	41027.0827	67498.0998	50985.5676	40738.3717	39414.4591	42923.109	46446.1728	42794.9577	38589.5366	36677.852699999996	484.2498	928.7198	0	0	0
B1AVY7	53960.972200000004	37859.5542	73023.7852	47042.5531	53745.8321	38604.0976	52231.9074	43928.284999999996	62093.4471	34006.2349	51396.8203	856.0446	1227.4178000000002	0	0	0
B1AVZ0	4002.3645	4150.667	5893.3936	4859.9365	4164.2373	5543.9126	4716.9619	5166.4497	5766.1714	4786.0815	3404.4724	0	0	0	0	0
B1AXH1	39783.7529	22695.1238	55344.278300000005	36706.6861	35114.8877	19686.5364	40707.0211	28525.0597	41096.558	19344.0115	31174.6133	640.2895	390.3376	0	0	0
B1AY13	15023.6143	9428.8763	17639.2829	16267.9849	11557.120499999999	10343.8589	13377.1913	10182.4671	13834.8786	8974.2685	12494.1441	0	0	0	0	0
B1AZI6	31062.5402	19799.914	38080.2973	29346.6511	25966.0032	23757.426900000002	29749.1634	24315.6105	33344.3111	20209.7556	26559.8069	0	456.3202	0	0	0
B1AZP2	12998.4033	14100.4648	17036.1055	15023.4795	12537.3438	19169.8164	13298.5059	15363.5625	14841.7402	14704.3594	12828.1152	0	0	0	0	0
B2RQC6	9886.5356	9856.8115	13233.185099999999	12489.7124	9860.4961	11114.9956	9874.9536	9655.130799999999	11254.3061	10874.1944	7810.4871	438.9594	0	0	0	0
B2RQG2	7036.6491	6340.9287	10080.0494	6304.1983	5992.3905	7747.8147	6623.998	6480.7615	6711.6706	6476.1397	4999.973	0	0	0	0	0
B2RR83	44209.736600000004	35775.936200000004	58785.5646	48458.7491	40899.6791	37753.824	46689.534700000004	35922.9785	50084.8425	27012.623	36899.6531	435.1768	0	0	0	0
B2RRE7	24156.4618	23805.0698	33346.6147	28080.6348	21098.9444	26698.2517	24261.7915	23701.2422	26657.6284	21614.0481	21438.5857	245.6145	431.8934	0	0	0
B2RSH2	6393.582	4139.1826	8884.6807	6557.6582	4885.7012	4366.6758	6018.4321	4565.3398	7514.8711	4252.3823	5252.3354	0	0	0	0	0
B2RUR8	13415.4102	11228.2598	18934.7266	15521.083	12132.7354	11095.1172	15710.6094	12940.7754	16428.8379	10166.542	10990.1631	0	0	0	0	0
B2RX14	3945.3303	3416.6665	3584.9585	3241.9055	2744.9473	4270.0112	3640.2012	3160.533	4055.073	3946.0862	2387.6414	0	0	0	0	0
B2RXC1	45394.8564	33724.0391	59119.4435	44470.077600000004	42732.587400000004	29891.742599999998	43502.2925	35472.068400000004	45451.419	26894.5803	36160.8712	814.9113	505.0496	0	0	0
B2RXC2	7876.8076	6200.2661	10827.8555	8763.6738	7797.2363	5483.7827	7590.54	5813.9692	8349.6182	5564.4868	6097.6924	0	0	0	0	0
B2RXC6	3202.5042	1958.0311	4212.813	2796.3296	2672.4011	1946.0129	2592.2273	2731.6375	2493.1887	1930.7996	2271.3416	0	0	0	0	0
B2RXC8	8462.439699999999	6968.4041	11167.281299999999	11640.570800000001	8198.1208	6930.7117	10010.587899999999	8778.7539	8709.0717	6672.5071	8148.853999999999	0	0	0	0	0
B2RXQ2	35208.1365	26818.297	46323.5308	36278.9734	30869.404300000002	28426.3596	33657.2062	26937.5811	35815.5075	25683.28	25671.5254	251.9565	0	0	0	0
B2RXR6	3140.9631	2746.6021	4737.0742	3344.9905	2793.8555	3037.9885	3095.9412	3360.6248	3681.0005	2254.3025	3236.8831	0	0	0	0	0
B2RXS4	83111.7006	66943.8555	121868.8395	91956.626	93478.6621	71949.6133	98415.1357	70694.8776	96184.0623	56465.8634	77879.6634	622.8602	602.1558	0	0	0
B2RY04	40638.7247	26090.227	52096.709	35500.5649	36300.8666	29894.9176	41290.5878	31431.1299	42028.385200000004	24364.1628	32371.7339	664.1057000000001	521.8114	0	0	0
B2RY56	78574.3369	66730.01359999999	96425.166	78299.63519999999	65849.6689	82241.7055	65057.2382	62004.6621	73423.2905	60658.024399999995	52924.357899999995	2581.071	1896.4766	0	0	0
B5TVM2	3930.3616	3304.6658	3747.0903	3235.7014	2771.0566	4584.8359	3835.9624	2274.5637	3264.5791	3505.9265	2462.2937	0	0	0	0	0
B7ZMP1	44418.4219	21476.9961	59975.5742	31101.7461	34928.3867	14921.8682	37534.6836	23262.8613	43611.6445	13874.8096	33686.3047	0	0	0	0	0
B9EJ80	18520.398	13271.6968	25440.0068	16434.7886	15366.3037	12667.3447	18293.5122	13890.083499999999	18891.5185	10183.2668	15259.6299	537.8171	274.7866	0	0	0
B9EJ86	21364.2114	14370.4053	28688.7476	20085.5083	15343.551	10059.4905	22062.9726	16204.6435	23361.1577	11376.521700000001	18470.1897	0	0	0	0	0
B9EJA2	1438.6573	1396.0111	1538.2664	1190.7008	1618.6735	840.248	1613.7689	769.9228	1399.1268	923.4638	1984.3666	0	0	0	0	0
B9EKI3	18659.6577	15339.5564	23293.7866	19252.377999999997	15167.770499999999	15467.1797	18663.3335	18058.4741	17377.692300000002	13449.108400000001	14981.8213	0	0	0	0	0
Biognosys_pep-a	7965.8335	11015.5791	11047.373	12078.5312	7547.9355	14417.0586	8133.0269	12485.3672	9566.877	11871.0322	6569.0171	391.322	0	0	0	0
D0QMC3	24247.9941	31610.5254	37514.3555	29971.7344	25578.7207	24941.6895	26292.6309	26383.2832	31090.6719	28344.0762	25019.0859	769.7559	0	0	0	0
D3YUP5	12551.2412	9308.0523	13910.102	10564.6062	12632.9336	7666.6924	11835.7885	8191.3177	12733.1446	6837.4492	9868.2202	260.7649	0	0	0	0
D3YXF5	6055.055399999999	7603.0074	7417.2635	7115.1092	5318.7933	7443.7991	5987.4356	5794.5135	6628.5432	9310.637200000001	4055.6776	0	0	0	0	0
D3YXJ5	25772.585900000002	18567.297599999998	35668.8628	26438.1368	26317.565000000002	15386.9184	28383.0064	20720.1631	26115.3979	12841.9666	21798.0512	0	0	0	0	0
D3YXK2	99925.0031	74938.2362	128362.757	95928.5708	81472.0519	82338.48	98203.6817	75420.1387	89535.5242	73898.8233	76558.2458	968.0933	0	0	0	0
D3YZP9	44992.703499999996	34241.2121	71477.5356	46764.698	40283.5376	32843.1816	47227.9418	37131.7517	47257.2183	33761.5784	43671.4864	0	0	0	0	0
D3YZZ5	7431.0813	6199.7593	9353.3862	6357.4578	5503.018599999999	4415.6607	6338.5446	5352.1614	6976.574699999999	4226.1807	5987.8132000000005	261.5267	0	0	0	0
D3Z0M9	48769.394	36193.8318	66035.6757	52469.428	41778.5399	38208.1392	42561.621	46683.254	57630.044	37090.7502	40880.702399999995	0	964.7764	0	0	0
D3Z2H9	210265.35940000002	157873.1796	290037.7188	151403.0302	210593.6425	172105.5548	248113.5704	136415.0381	226568.4512	124909.51269999999	201084.59470000002	257.6082	434.3874	0	0	0
D3Z3N4	68264.6118	68982.1186	89499.0137	65043.1587	63331.772	48357.3917	68789.748	53656.6172	85556.7549	46628.4407	54157.3257	2177.025	1418.4929	0	0	0
D3Z6Q9	3207.7576	4369.4111	4215.1665	5476.7266	3320.6616	11003.9297	3878.5544	5426.0303	5795.0967	4984.4551	3868.1309	0	0	0	0	0
D3Z7P3	72436.19559999999	54574.619099999996	98525.9659	72186.9587	69137.1351	78613.048	76297.7801	60640.3983	72643.7752	51753.9429	67114.3909	537.5104	959.1228	259.7822	0	0
D3Z7Q2	2187.6587	1396.4009	3652.7437	2245.9661	2625.9768	725.2823	3442.593	2746.6704	3274.7693	1067.5902	2863.5564	0	0	0	0	0
D3Z7X0	98283.21680000001	42904.864199999996	130479.7168	78764.8067	74005.3614	30037.1807	98819.86720000001	52773.943400000004	98887.3965	28277.980900000002	81328.1367	784.0833	1790.5138000000002	0	0	0
D4AFX7	254074.3216	171238.9289	326601.87440000003	255190.0129	261242.3142	138316.8136	258060.9545	223882.9912	245532.87660000002	140935.1131	231022.8366	1149.5717	3922.3382	0	0	0
E0CYQ0	4623.7363	3821.4585	6937.3086	5467.7168	4262.8345	4087.1648	4210.6445	4362.1519	4027.3389	4985.4019	4506.356	0	0	0	0	0
E0CYR6	17943.4355	13457.7881	21872.0293	21443.0977	14544.9316	10829.1895	17096.207	16990.8789	17957.0332	11196.7861	15704.7656	304.5982	321.9934	0	0	0
E0CZ22	21471.0633	14515.8019	28570.1806	18088.4388	22222.3708	16331.8972	22338.0122	16592.8459	24932.9319	14615.2237	16647.1312	0	0	0	0	0
E2JF22	11352.4076	10432.109	13769.2699	11096.3539	7445.5256	11043.6148	8590.7718	8012.283	11512.302	10344.269400000001	6417.7919	0	0	0	0	0
