Protein ID	WT1	KO1	WT2	KO2	WT3	KO3	WT4	KO4	WT5	KO5	WT6	MT...49	MT...50	MT...51	MT...52	MT...53
Q8R2U6	19097.5449	14005.9395	26330.8516	19713.9492	17107.2793	11701.4844	18822.9297	14546.5508	21692.6191	10301.4297	15497.3701	0	0	0	0	0
Q8R2V5	12386.5478	8271.5344	12950.8282	10663.9961	10137.1963	8831.5657	9467.0723	7274.9485	11248.978	6333.3457	7938.2729	0	0	0	0	0
Q8R2Y0	32632.476599999998	21948.3829	36867.6123	27618.074200000003	25479.7421	22580.6836	29489.6729	25507.6953	31156.0019	20257.1924	20541.1739	0	378.5807	0	0	0
Q8R2Y2	35512.687	41721.288	49625.7661	47751.0356	32864.995200000005	45229.6172	39505.0497	42148.057	45756.3579	44023.1953	31813.592099999998	632.3234	336.1293	0	0	0
Q8R2Y8	4743.9146	3310.073	5834.1396	3678.8804	4829.7339	1779.5287	5466.3223	3927.0859	3680.3726	3487.5347	4831.7334	0	0	0	0	0
Q8R2Z5	7219.9663	5295.5269	7577.5244	5983.6157	5859.2456	3707.1123	5750.8882	4355.5303	7694.4082	3365.7471	4206.8721	0	0	0	0	0
Q8R307	42963.553	31162.3599	53786.9561	41956.4473	35951.0979	35839.9578	41635.4531	33294.4743	39998.47	26978.0164	33241.318400000004	0	471.8566	0	0	0
Q8R313	24509.4692	15892.806100000002	28829.158199999998	22429.8682	21783.0605	15300.6963	22796.4492	18608.879800000002	21418.9356	13395.9634	17661.3594	269.8756	0	0	0	0
Q8R322	2204.1543	1928.701	2634.8491	2264.1208	1798.9297	1969.8793	1931.2936	1830.8621	1739.6046	1500.2681	1879.6613	0	0	0	0	0
Q8R323	4341.3618	5028.522	6521.1567	4066.6255	3528.53	2709.7449	4519.6196	3106.4402	6045.9839	3524.4504	3391.0503	0	0	0	0	0
Q8R326	86749.8159	91386.254	111762.4425	95854.8511	74822.1997	88618.3011	72398.6142	86882.52249999999	88503.9253	82294.2549	63285.8335	1580.4877	526.5221	0	0	0
Q8R332	27566.989200000004	24743.5235	34578.8989	25810.7769	25503.698699999997	23831.3935	23687.5405	20846.572799999998	25997.838799999998	22384.5181	20008.8623	0	0	0	0	0
Q8R349	10001.1963	7690.7803	11296.882300000001	9201.7712	8347.263	7560.5483	9957.856899999999	6999.7593	9088.763599999998	6775.5386	7663.6826	0	0	0	0	0
Q8R361	148615.142	107897.6075	177321.4058	156419.0857	133689.7503	114229.3643	144150.9111	126288.56640000001	144633.7586	100847.1948	126543.4767	2165.9067	1612.1686	0	0	0
Q8R366	5024.688	4524.0249	7144.0264	5755.7285	5265.2275	4949.2222	6235.9766	5132.644	5488.6323	4637.5356	4658.2295	0	0	0	0	0
Q8R395	20258.8438	16262.4707	29577.2461	19317.9551	22008.6855	17000.4102	26086.1973	20645.166	23207.5742	15084.3613	20214.8184	0	0	0	0	0
Q8R3B1	22246.713900000002	22618.6962	29712.6866	21775.654300000002	19286.6079	29370.0176	20465.410600000003	19385.0009	25349.1074	19104.7319	16973.052	264.32	235.9888	0	0	0
Q8R3C0	8092.7812	8473.3604	12042.3096	11338.9189	8535.1279	12337.8496	8924.2598	9235.5342	9258.6484	7818.8042	7427.1724	328.9445	0	0	0	0
Q8R3D1	61498.1323	39073.8388	87062.4892	50739.9521	53591.211	30729.6008	65427.2368	45598.6438	62465.4897	27684.5241	51000.6119	709.3707	0	0	0	0
Q8R3G1	25752.8384	20138.144	34046.8818	25974.146500000003	19497.0037	23616.6133	21346.6504	20231.3259	27346.0361	20238.1453	18405.3142	359.0536	287.2174	0	0	0
Q8R3K3	29756.9171	21417.5415	42187.9512	29338.71	28424.9306	17998.7154	32168.3027	22065.4775	32530.5234	15706.032200000001	27728.337900000002	0	279.3501	0	0	0
Q8R3L2	4262.8125	2649.1187	4653.6558000000005	3825.1826	2674.4128	2623.9155	3521.4519	2172.4868	3926.0303	2489.395	2691.0364	0	0	0	0	0
Q8R3L5	6667.1328	4503.3101	9144.4941	7781.6538	8380.6074	1932.0858	8529.4414	5814.2661	7113.9805	2715.28	6321.2139	0	0	0	0	0
Q8R3N6	7368.4941	6081.3247	8622.9043	8124.5308000000005	6287.1523	6795.0176	7966.0269	5764.5908	8986.6348	6011.5903	6616.04	0	0	0	0	0
Q8R3P0	111820.3487	51472.5899	133117.2216	89757.9245	83336.0206	40574.564	107291.11959999999	70228.7788	95415.2959	34454.2114	96476.2809	0	0	0	0	0
Q8R3Q6	13600.0713	6021.0083	13328.7666	9757.4043	11463.8994	6333.2275	11695.46	7303.4106	11399.3945	5916.7983	9639.1523	0	0	0	0	0
Q8R3R8	36431.4082	30744.1514	59686.2715	55108.2714	46590.1055	31067.9111	56463.502	45021.384699999995	51878.0488	31322.1846	55743.3789	1155.9801	1476.4529	0	0	0
Q8R3S6	16268.2456	13176.5503	20055.4927	16315.0703	15272.123	15214.418	14288.912100000001	13678.2647	15214.5679	9330.8982	11841.1911	0	0	0	0	0
Q8R3T5	20087.6758	17283.4199	26768.7754	25505.9297	15740.6895	15987.5273	21908.582	19388.7109	25087.8926	11214.9414	17983.916	0	0	0	0	0
Q8R3V5	51418.3232	41997.2573	68405.8039	52497.2666	47866.3681	36962.8222	53148.423800000004	38783.3045	49702.854600000006	30637.416	46850.783899999995	931.2859	653.3118	0	0	0
Q8R3W2	10167.457	5867.8501	11398.1719	7913.479	9816.9238	5471.2832	9334.5488	7533.1987	9123.4062	4060.8179	8137.1187	0	0	0	0	0
Q8R3Y8	9075.3243	8994.9419	13590.2134	9632.1147	9141.4753	12606.3845	9722.843700000001	9898.2102	10590.8259	8505.1035	7871.559000000001	0	0	0	0	0
Q8R404	20303.7812	12217.900399999999	28388.7729	16825.605	19656.8093	9802.2578	22477.9491	11937.005799999999	21456.7029	9498.019400000001	20627.0256	0	0	0	0	0
Q8R409	29893.8965	25869.6738	46089.7461	28713.0332	22387.3477	21232.0078	30446.5371	25202.1152	35819.8672	20432.0781	27268.2832	0	0	0	0	0
Q8R420	16735.8089	12756.646	22266.042	19099.0996	19165.3556	14486.6448	18787.5824	15567.177	17250.9658	11760.691900000002	15187.8872	0	0	0	0	0
